gene_name	synonyms	ecocyc_accession	common_name	position_min	summary	gene_product	b_number
Eric Neeno-Eckwall, personal communication 11/7/2018: YtfP is highly conserved among the enterobacteria, with conservation of genome context as far out as Vibrio. I looked at a couple of examples, and the coding sequence of yzfA is not conserved. It would be a pseudogene in Dickeya, and would have a long C-terminal extension in Salmonella (and is not predicted by GeneMark). A version in Escherichia albertii (87% nucleotide identity for ytfP) would require a different start codon and is also not predicted by GeneMark.

Previous UniProt ID: P08339		b4223
G7802		ECK3802	yzcX	86.043724		G7802-MONOMER	b3808
EG12164	gpmB	ECK4387	ytjC	99.830696		PGAM2-MONOMER	b4395
EG10951	smp	ECK4379	ytjB	99.622826		EG10951-MONOMER	b4387
G0-10475		ECK4368	ytjA	99.36394		MONOMER0-2697	b4568
G0-16687		ECK4578	ytiD	98.16879		MONOMER0-4392	b4721
G0-16686		ECK4577	ytiC	98.167076		MONOMER0-4391	b4720
G0-17013		ECK4624	ytiB	8.43648		MONOMER0-4480	b4767
G0-16640		ECK4572	ytiA	98.31991		MONOMER0-4349	b4715
G0-17048		ECK4659	ythB	97.73669		MONOMER0-4516	b4802
G0-10616		ECK4434	ythA	97.08716		MONOMER0-2840	b4655
G0-17046		ECK4657	ytgA	96.64889		MONOMER0-4514	b4800
EG12520		ECK4225	ytfT	95.92649		YTFT-MONOMER	b4230
EG12518	ytfS // b4228 // b4229	ECK4224	ytfR	95.89383		YTFR-MONOMER	b4485
EG12517		ECK4223	ytfQ	95.870224		YTFQ-MONOMER	b4227
G7876		ECK4218	ytfP	95.82567		G7876-MONOMER	b4222
G7873		ECK4214	ytfL	95.65284		G7873-MONOMER	b4218
G7872		ECK4213	ytfK	95.646706		G7872-MONOMER	b4217
G7871	ecfJ	ECK4212	ytfJ	95.62776		G7871-MONOMER	b4216
G7870		ECK4211	ytfI	95.60619		G7870-MONOMER	b4215
G7869		ECK4208	ytfH	95.52877		G7869-MONOMER	b4212
G7867		ECK4206	ytfF	95.48521		G7867-MONOMER	b4210
G7866	dnrN	ECK4205	ytfE	95.46861		G7866-MONOMER	b4209
G7864		ECK4202	ytfB	95.39877		G7864-MONOMER	b4206
G7863		ECK4201	ytfA	95.39047		G7863-MONOMER	b4205
G0-10608		ECK4430	ytcA	92.72836		MONOMER0-2830	b4622
G0-10657		ECK4501	yshB	87.331985		MONOMER0-2884	b4686
G0-17045		ECK4656	ysgD	86.20245		MONOMER0-4513	b4799
G7804		ECK3824	ysgA	86.507		G7804-MONOMER	b3830
G0-17044		ECK4655	ysdE	83.02574		MONOMER0-4512	b4798
G0-16751		ECK4614	ysdD	83.677666		MONOMER0-4435	b4757
G0-10564		ECK3672	ysdC	83.18532			b4556
G0-17039		ECK4650	ysaE	80.1525		MONOMER0-4505	b4793
G0-16665		ECK4460	ysaD	80.80998	Comment in EcoGene: "Pseudogene, internal sequence remnant.  A deletion has apparently removed the N-terminal regions of ysaC and ysaD. An intact version of this region is present in O157:H7 with three genes: a putative AraC-type transcriptional regulator Z5000:Q8XDK9(ysaC), a putative permease Z5001:Q8XDK7 and a putative glycosidase Z5002:Q7A9W5(ysaD). Apparently the putative glycosidase was also deleted from K-12. The last C-terminal residues of YsaD are also missing."		b4649
G0-16664		ECK4459	ysaC	80.80772	Comment in EcoGene: "Pseudogene, C-terminal remnant.  A deletion has apparently removed the N-terminal regions of ysaC and ysaD. An intact version of this region is present in O157:H7 with three genes: a putative AraC-trpe transcriptional regulator Z5000:Q8XDK9(ysaC), a putative permease Z5001:Q8XDK7 and a putative glycosidase Z5002:Q7A9W5(ysaD). Apparently the putative glycosidase was also deleted from K-12."		b4648
G0-10467		ECK3549	ysaB	80.2605		MONOMER0-2689	b4553
EG12277	yiaI	ECK3562	ysaA	80.598656		EG12277-MONOMER	b3573
G0-17038		ECK4649	yriB	78.43421		MONOMER0-4504	b4792
G0-17037		ECK4648	yriA	78.43354		MONOMER0-4503	b4791
G0-10603		ECK4421	yrhD	77.222595		MONOMER0-2826	b4612
G0-10563		ECK3468	yrhC	78.07321			b4552
G7763		ECK3430	yrhB	77.23024		G7763-MONOMER	b3446
G7760		ECK3429	yrhA	77.19323		G7760-MONOMER	b3443
G7742		ECK3386	yrfG	76.021835		G7742-MONOMER	b3399
G0-16676		ECK4509	yrdF	73.34662	Comment in EcoGene: "Pseudogene, N-terminal fragment.  An intact version of the 276 aa YrdF is present in several E. coli strains, e.g. HS (UniProtKB:A8A563). YrdF is belongs to the COG4848/DUF1444/UPF0354/PF07285 family of proteins of unknown function."		b4697
G0-16661		ECK4442	yrdE	73.3497	Comment in EcoGene: "Pseudogene reconstruction, C-terminal fragment, yedZ paralog.  Stop codon 76 is translated as an X. A frameshift at codon 33 was hypothetically reconstructed with an X. Although there are many yrdE' pseudogenes in other E. coli strains, there is currently no intact copy of yrdE sequenced."join(3404638..3404733,3404732..3405031)		b4646
G7699		ECK3270	yrdD	73.9267		G7699-MONOMER	b3283
G7697		ECK3267	yrdB	73.89106		G7697-MONOMER	b3280
G7696		ECK3266	yrdA	73.87965		G7696-MONOMER	b3279
G0-10651		ECK4500	yrbN	71.264565		MONOMER0-2878	b4685
G7667		ECK3196	yrbL	72.13923		G7667-MONOMER	b3207
EG12802		ECK3185	yrbG	71.963066		YRBG-MONOMER	b3196
G7646		ECK3140	yraR	71.05684		G7646-MONOMER	b3152
G7645		ECK3139	yraQ	71.03286		G7645-MONOMER	b3151
G7644	ecfH	ECK3138	yraP	71.01801		G7644-MONOMER	b3150
G7643		ECK3136	yraN	70.99615		G7643-MONOMER	b3148
G7640		ECK3133	yraK	70.90883		G7640-MONOMER	b3145
G7639		ECK3132	yraJ	70.854385		G7639-MONOMER	b3144
G7638		ECK3131	yraI	70.83878		G7638-MONOMER	b3143
G7637		ECK3130	yraH	70.82448		G7637-MONOMER	b3142
G7614		ECK3091	yqjK	70.01984		G7614-MONOMER	b3100
G7616		ECK3093	yqjG	70.04024		G7616-MONOMER	b3102
G7615		ECK3092	yqjF	70.03028		G7615-MONOMER	b3101
G7613		ECK3090	yqjE	70.011345		G7613-MONOMER	b3099
G7612		ECK3089	yqjD	70.00471		G7612-MONOMER	b3098
G7611		ECK3088	yqjC	69.995964		G7611-MONOMER	b3097
G7609	ecfL	ECK3086	yqjA	69.9702		G7609-MONOMER	b3095
G0-17033		ECK4644	yqiM	69.96793		MONOMER0-4499	b4787
G7589		ECK3040	yqiK	68.78723		G7589-MONOMER	b3051
G7588		ECK3039	yqiJ	68.7731		G7588-MONOMER	b3050
G7587		ECK3037	yqiI	68.73914		G7587-MONOMER	b3048
G7586		ECK3036	yqiH	68.72297		G7586-MONOMER	b3047
G7585		ECK3035	yqiG	68.66952	The <i>yqiG</i> gene is interrupted by an IS element.  Sequence similarity suggests that its ancestral product is a member of the Fimbrial Usher Protein (FUP) family |CITS: [12192075]|.

The <i>yqiG</i> null mutant of the Keio collection was reported to produce less hydrogen than wild type under fermentation conditions.  A <i>yqiG</i> expression clone from the ASKA library complements the phenotype |CITS: [24025676]|.  The BW25113 strain used in these experiments does not contain the IS element which interrupts the gene in MG1655.  

Comment in ASAP: The coordinates of yqiG have been changed from those reported in the GenBank entry (GBAN:U00096.3), adding 36 nucleotides to the N-terminus and including the repeat at the end of the N-terminal fragment.	G7585-MONOMER	b3046
G0-16750		ECK4613	yqiD	68.58293		MONOMER0-4434	b4756
G7580	yzzH	ECK3024	yqiB	68.4424		G7580-MONOMER	b3033
G7578	yzzI	ECK3022	yqiA	68.41153		G7578-MONOMER	b3031
G0-17032		ECK4643	yqhJ	67.02928		MONOMER0-4498	b4786
G0-16749		ECK4612	yqhI	67.812004		MONOMER0-4433	b4755
G7567		ECK3006	yqhH	68.04963		G7567-MONOMER	b3014
G7566	yqhF	ECK3005	yqhG	68.02858		G7566-MONOMER	b3013
G7564		ECK3003	yqhD	67.97914		G7564-MONOMER	b3011
G7563		ECK3002	yqhC	67.95559		G7563-MONOMER	b3010
G7559		ECK2996	yqhA	67.841736		G7559-MONOMER	b3002
G0-17031		ECK4642	yqgH	66.9873		MONOMER0-4497	b4785
G0-17030		ECK4641	yqgG	66.488075		MONOMER0-4496	b4784
G7525		ECK2944	yqgF	66.64653		G7525-MONOMER	b2949
G7524		ECK2943	yqgE	66.6344		G7524-MONOMER	b2948
G7523		ECK2936	yqgD	66.493546		G7523-MONOMER	b2941
G7522		ECK2935	yqgC	66.48898		G7522-MONOMER	b2940
G7521		ECK2934	yqgB	66.48322		G7521-MONOMER	b2939
G7534		ECK2961	yqgA	66.99238		G7534-MONOMER	b2966
G0-16748		ECK4611	yqfI	65.73		MONOMER0-4432	b4754
G0-16747		ECK4610	yqfH	65.3418		MONOMER0-4431	b4753
G0-10656		ECK4499	yqfG	65.33917		MONOMER0-2883	b4684
G7515		ECK2911	yqfE	65.91147		G7515-MONOMER	b2915
G7513		ECK2895	yqfB	65.56528		G7513-MONOMER	b2900
G7512		ECK2894	yqfA	65.54755		G7512-MONOMER	b2899
G0-10650		ECK4498	yqeL	64.41282		MONOMER0-2877	b4683
G7469		ECK2847	yqeK	64.41532		G7469-MONOMER	b2849
G7468		ECK2846	yqeJ	64.401726		G7468-MONOMER	b2848
G7467		ECK2845	yqeI	64.384445		G7467-MONOMER	b2847
G7466		ECK2844	yqeH	64.36363		G7466-MONOMER	b2846
G7465		ECK2843	yqeG	64.32725		B2845-MONOMER	b2845
G7464		ECK2842	yqeF	64.29631		G7464-MONOMER	b2844
G7495		ECK2872	yqeC	64.939964		G7495-MONOMER	b2876
G7494		ECK2871	yqeB	64.903915		G7494-MONOMER	b2875
G7493		ECK2870	yqeA	64.879074		G7493-MONOMER	b2874
G0-10655		ECK4497	yqcG	62.597477		MONOMER0-2882	b4682
EG13174	yqcF	ECK2769	yqcE	62.49051		B2775-MONOMER	b2775
G7450		ECK2786	yqcC	62.990158		G7450-MONOMER	b2792
G7448		ECK2784	yqcA	62.963253		G7448-MONOMER	b2790
G7396		ECK2660	yqaE	60.255917		G7396-MONOMER	b2666
G7408		ECK2685	yqaB	60.68824		G7408-MONOMER	b2690
G7407		ECK2684	yqaA	60.679085		G7407-MONOMER	b2689
G7370		ECK2631	ypjK	59.686615		G7370-MONOMER	b2635
G0-10464		ECK2641	ypjJ	59.825188		MONOMER0-2686	b4548
G0-16653		ECK4438	ypjI	59.79649	Comment for pseudogene reconstruction in EcoGene: "UPF0401 family. In frame stop codons 8 and 11 were translated as Xs. A frameshift at codon 60 was hypothetically corrected in the protein sequence."  Comment from ASAP: Contains multiple frameshift and point mutations relative to a paralog, ykfF.	G0-16653-MONOMER	b4644
G7381		ECK2643	ypjF	59.837597		G7381-MONOMER	b2646
G7355		ECK2608	ypjD	59.20224		G7355-MONOMER	b2611
G7385		ECK2647	ypjC	59.990044		G7385-MONOMER	b2650
G7384		ECK2646	ypjB	59.970844		G7384-MONOMER	b2649
G7382		ECK2644	ypjA	59.852528		G7382-MONOMER	b2647
G7344		ECK2547	yphH	57.799744		G7344-MONOMER	b2550
G7343		ECK2546	yphG	57.726513		G7343-MONOMER	b2549
G7342		ECK2545	yphF	57.70325		G7342-MONOMER	b2548
G7341		ECK2544	yphE	57.6702		YPHE-MONOMER	b2547
G7340		ECK2543	yphD	57.64816		YPHD-MONOMER	b2546
G7339		ECK2542	yphC	57.623882		YPHC-MONOMER	b2545
G7338		ECK2541	yphB	57.604836		G7338-MONOMER	b2544
G7337		ECK2540	yphA	57.59471		G7337-MONOMER	b2543
G0-10463		ECK2468	ypfN	55.858604		MONOMER0-2685	b4547
G0-8888		ECK4415	ypfM	55.816483		MONOMER0-762	b4606
G7298		ECK2471	ypfJ	55.925648		G7298-MONOMER	b2475
G7296		ECK2469	ypfH	55.86528		G7296-MONOMER	b2473
G7295		ECK2461	ypfG	55.621017		G7295-MONOMER	b2466
G7252		ECK2386	ypeC	54.09714		G7252-MONOMER	b2390
G0-10462		ECK2405	ypeB	54.462097		MONOMER0-2684	b4546
G7269		ECK2429	ypeA	54.97424		G7269-MONOMER	b2434
G0-10647		ECK4495	ypdK	53.7938		MONOMER0-2874	b4680
G0-10461		ECK2358	ypdJ	53.3451		MONOMER0-2683	b4545
G7239		ECK2372	ypdI	53.745907		G7239-MONOMER	b2376
G7248		ECK2381	ypdF	53.97964		G7248-MONOMER	b2385
G7247		ECK2380	ypdE	53.957294		G7247-MONOMER	b2384
G7245		ECK2378	ypdC	53.884476		G7245-MONOMER	b2382
G0-10596		ECK4414	ypaB	50.51206		MONOMER0-2824	b4605
G0-10561		ECK2237	ypaA	50.796913		MONOMER0-4395	b4543
G0-10595		ECK4413	yojO	49.629013		MONOMER0-2823	b4604
EG12070	yojJ	ECK2203	yojI	49.70153		YOJI-MONOMER	b2211
G0-10652		ECK4494	yohP	48.02131		MONOMER0-2879	b4679
G0-10459		ECK2120	yohO	47.734234		MONOMER0-2681	b4542
EG12024		ECK2135	yohK	48.065193		EG12024-MONOMER	b2142
EG12023		ECK2134	yohJ	48.056683		EG12023-MONOMER	b2141
EG12019	yohE	ECK2130	yohF	47.96803		EG12019-MONOMER	b2137
EG12017		ECK2129	yohD	47.952778		EG12017-MONOMER	b2136
EG12016		ECK2128	yohC	47.936466		EG12016-MONOMER	b2135
G0-10643		ECK4493	yoeI	44.96356		MONOMER0-2870	b4678
G0-16656		ECK4452	yoeH	44.558723	Comment from EcoGene: "Pseudogene, CP4-44 putative defective prophage; C-terminal fragment.  Homologous to C-terminus of 20 family transposases, like E. coli E24377A Q27V67. Inframe stops at codons 5 and 36 are represented by Xs in the reconstructed protein sequence."

The expression of an antisense RNA that starts downstream of the <i>yoeH</i> gene is inhibited by RNA polymerase-binding RNA aptamers (RAPs) and the protein Rho |CITS: [31535128]|.
		b4641
G0-16657		ECK4451	yoeG	44.539314	Comment from EcoGene: "Pseudogene reconstruction, CP4-44 putative defective prophage; N-terminal fragment.  Transposase homolog, IS4 family, transposase family 25. Five inframe stop codons were replaced by Xs. A frameshift corrected at codon 146 is marked with an X."complement(join(2067360..2067458,2067458..2067892))		b4640
G0-10456		ECK2000	yoeF	44.78093		MONOMER0-2678	b4538
G0-16655		ECK4443	yoeD	44.78037	Comment from EcoGene: "Pseudogene, CP4-44 putative defective prophage; C-terminal fragment of a putative transposase.  An example of an intact allele is Z4340 of strain O157:H7."

Expression of <i>yoeD</i> displayed significantly lower variability across populations adapted to different toxins |CITS: [28217741]|.		b4642
G0-9121		ECK2011	yoeB	45.010075		MONOMER0-1041	b4539
G7075	yoeE // b1995 // b1998 // ECK1990	ECK1989	yoeA	44.566784		G7075-MONOMER	b4582
G0-17026		ECK4637	yodE	53.22452		MONOMER0-4492	b4780
G7046		ECK1951	yodD	43.626408		G7046-MONOMER	b1953
G7050		ECK1955	yodC	43.69539		G7050-MONOMER	b1957
G7062		ECK1970	yodB	44.000885		G7062-MONOMER	b1974
G0-10644		ECK4492	yobI	41.927208		MONOMER0-2871	b4677
G0-10454		ECK1825	yobH	41.125984		MONOMER0-2676	b4536
G7000		ECK1822	yobF	41.094162		G7000-MONOMER	b1824
G6998		ECK1818	yobD	41.037136		G6998-MONOMER	b1820
G7015		ECK1844	yobB	41.481785		G7015-MONOMER	b1843
G7014		ECK1842	yobA	41.463577		G7014-MONOMER	b1841
G0-17025		ECK4636	yoaM	50.571434		MONOMER0-4491	b4779
G0-16745		ECK4608	yoaL	40.96759		MONOMER0-4429	b4751
G0-10649		ECK4491	yoaK	40.476387		MONOMER0-2876	b4676
G0-10648		ECK4490	yoaJ	40.47856		MONOMER0-2875	b4675
G6974		ECK1786	yoaI	40.375237		G6974-MONOMER	b1788
G6995		ECK1809	yoaH	40.81633		G6995-MONOMER	b1811
G6982		ECK1794	yoaG	40.48996		G6982-MONOMER	b1796
G6979		ECK1791	yoaF	40.444176		G6979-MONOMER	b1793
G6997	borG	ECK1814	yoaE	40.934326		G6997-MONOMER	b1816
G6994		ECK1808	yoaC	40.807304		G6994-MONOMER	b1810
G6993		ECK1807	yoaB	40.7908		G6993-MONOMER	b1809
G6992		ECK1806	yoaA	40.746807		G6992-MONOMER	b1808
G6956		ECK1760	ynjI	39.723595		G6956-MONOMER	b1762
G6955		ECK1758	ynjH	39.6812		G6955-MONOMER	b1760
G6953		ECK1756	ynjF	39.65793		G6953-MONOMER	b1758
G6952		ECK1755	ynjE	39.629574		G6952-MONOMER	b1757
G6951		ECK1754	ynjD	39.614063		YNJD-MONOMER	b1756
G6950		ECK1753	ynjC	39.580994		YNJC-MONOMER	b1755
G6949		ECK1752	ynjB	39.556458		G6949-MONOMER	b1754
G6948		ECK1751	ynjA	39.544434		G6948-MONOMER	b1753
G0-10453		ECK1719	yniD	38.89057		MONOMER0-2675	b4535
G6931		ECK1724	yniB	38.966663		G6931-MONOMER	b1726
G6930		ECK1723	yniA	38.947254		G6930-MONOMER	b1725
G0-17022		ECK4633	ynfU	35.34959		MONOMER0-4488	b4776
G0-16742		ECK4605	ynfT	35.17907		MONOMER0-4425	b4748
G0-16744		ECK4607	ynfS	35.377964		MONOMER0-4427	b4750
G0-16743		ECK4606	ynfR	35.29321		MONOMER0-4426	b4749
G0-16689		ECK4581	ynfQ	35.294678		MONOMER0-4394	b4724
G0-10559	ydfJ_1	ECK1574	ynfP	35.60646		MONOMER0-4428	b4534
G0-10452		ECK1542	ynfO	35.26236		MONOMER0-2674	b4533
G6824		ECK1545	ynfN	35.28817		G6824-MONOMER	b1551
G6854	yzyC	ECK1591	ynfM	35.972084		B1596-MONOMER	b1596
G6853		ECK1590	ynfL	35.950542		G6853-MONOMER	b1595
G6851		ECK1588	ynfK	35.903683		G6851-MONOMER	b1593
G6848		ECK1585	ynfH	35.84088		G6848-MONOMER	b1590
G6847		ECK1584	ynfG	35.82755		G6847-MONOMER	b1589
G6846		ECK1583	ynfF	35.77511		G6846-MONOMER	b1588
G6845		ECK1582	ynfE	35.721527		G6845-MONOMER	b1587
G6844		ECK1581	ynfD	35.71067		G6844-MONOMER	b1586
G6843		ECK1580	ynfC	35.693047		G6843-MONOMER	b1585
G6841		ECK1578	ynfB	35.672817		G6841-MONOMER	b1583
G6840		ECK1577	ynfA	35.662884		G6840-MONOMER	b1582
G0-16741		ECK4604	yneP	34.029804		MONOMER0-4424	b4747
EG11780	orfT // ydeK // ydeU // b1509 // b1510 // ECK1502	ECK1503	yneO	34.312458		EG11780-MONOMER	b4696
G6796		ECK1499	yneL	34.26224		G6796-MONOMER	b1506
G6813		ECK1520	yneK	34.810085		G6813-MONOMER	b1527
G6812		ECK1519	yneJ	34.789425		G6812-MONOMER	b1526
G6809		ECK1516	yneG	34.728283		G6809-MONOMER	b1523
G6807		ECK1513	yneE	34.645164		G6807-MONOMER	b1520
G0-17020		ECK4631	yncP	32.141056		MONOMER0-4486	b4774
G0-16739		ECK4602	yncO	32.96934		MONOMER0-4422	b4745
G0-8887		ECK4408	yncL	32.684464		MONOMER0-761	b4598
G0-10557	insP // b4531 // b4530	ECK1425	yncK	32.38541			b4578
G6747		ECK1430	yncJ	32.5064		G6747-MONOMER	b1436
G6767	yncM // b1458 // ECK1453	ECK1452	yncI	32.975025		G6767-MONOMER	b1459
G6766		ECK1449	yncH	32.896477		G6766-MONOMER	b1455
G6765		ECK1448	yncG	32.881546		G6765-MONOMER	b1454
G6763		ECK1446	yncE	32.818207		G6763-MONOMER	b1452
G6762		ECK1445	yncD	32.767708		G6762-MONOMER	b1451
G0-10646		ECK4489	ynbG	31.565594		MONOMER0-2873	b4674
G6704		ECK1379	ynbE	31.145958		G6704-MONOMER	b1382
G6730		ECK1404	ynbD	31.904783		G6730-MONOMER	b1411
G6729		ECK1403	ynbC	31.866629		G6729-MONOMER	b1410
G6728		ECK1402	ynbB	31.84698		G6728-MONOMER	b1409
G6727		ECK1401	ynbA	31.833946		G6727-MONOMER	b1408
G0-17019		ECK4630	ynaN	30.33379		MONOMER0-4485	b4773
G0-16738		ECK4601	ynaM	30.900484		MONOMER0-4421	b4744
G0-8900	C0343	ECK4600	ynaL	30.362207		MONOMER0-4420	b4743
G6688		ECK1363	ynaK	30.708399		G6688-MONOMER	b1365
G6668		ECK1328	ynaJ	30.104906		G6668-MONOMER	b1332
G6666		ECK1327	ynaI	30.051607		MONOMER0-82	b1330
G6698		ECK1370	ynaE	30.893978		G6698-MONOMER	b1375
G6691	tmpR	ECK1365	ynaA	30.7316		G6691-MONOMER	b1368
G0-16737		ECK4599	ymjE	29.282183		MONOMER0-4419	b4742
G0-10645		ECK4488	ymjD	29.964935		MONOMER0-2872	b4673
G0-10446		ECK1323	ymjC	29.960886		MONOMER0-2668	b4525
G0-10445		ECK1314	ymjB	29.769337		MONOMER0-2667	b4524
G6642		ECK1290	ymjA	29.244392		G6642-MONOMER	b1295
G0-17018		ECK4629	ymiD	28.969149		MONOMER0-4484	b4772
G0-16736		ECK4598	ymiC	28.773636		MONOMER0-4418	b4741
G0-16673		ECK4487	ymiB	29.015446		MONOMER0-4368	b4672
G0-10512	yciX_1	ECK4433	ymiA	28.764502		MONOMER0-2885	b4522
G0-16735		ECK4597	ymgM	26.720228		MONOMER0-4417	b4740
G0-16734		ECK4596	ymgL	26.123026		MONOMER0-4416	b4739
G0-16733		ECK4595	ymgK	26.116995		MONOMER0-4415	b4738
G0-10590		ECK4404	ymgJ	26.354065		MONOMER0-2819	b4594
G0-10589		ECK4403	ymgI	26.348162		MONOMER0-2818	b4593
G6612		ECK1159	ymgG	26.340708		G6612-MONOMER	b1172
G0-10261		ECK1156	ymgF	26.261837		MONOMER0-2141	b4520
G6624	tag	ECK1183	ymgE	26.816486		G6624-MONOMER	b1195
G6611		ECK1158	ymgD	26.333405		G6611-MONOMER	b1171
G6607		ECK1154	ymgC	26.213684		G6607-MONOMER	b1167
G6605		ECK1152	ymgA	26.199034		G6605-MONOMER	b1165
G6590	croE	ECK1132	ymfT	25.918013		G6590-MONOMER	b1146
G6594		ECK1136	ymfR	25.97241		G6594-MONOMER	b1150
G6597		ECK1139	ymfQ	26.001799		G6597-MONOMER	b1153
G6593		ECK1135	ymfN	25.942703		G6593-MONOMER	b1149
G6592		ECK1134	ymfM	25.935205		G6592-MONOMER	b1148
G6591		ECK1133	ymfL	25.92327		G6591-MONOMER	b1147
G6589	cohE	ECK1131	ymfK	25.901531		G6589-MONOMER	b1145
G6588		ECK1130	ymfJ	25.891129		G6588-MONOMER	b1144
G6587		ECK1129	ymfI	25.885117		G6587-MONOMER	b1143
G6586		ECK1128	ymfH	25.875896		G6586-MONOMER	b1142
G6583		ECK1124	ymfE	25.799715		G6583-MONOMER	b1138
G6582		ECK1123	ymfD	25.785366		G6582-MONOMER	b1137
G6579		ECK1108	ymfA	25.449217		G6579-MONOMER	b1122
G0-16732		ECK4594	ymdG	23.24862		MONOMER0-4414	b4737
G0-10443		ECK0996	ymdF	23.010796		MONOMER0-2665	b4518
G6535		ECK1016	ymdE	23.602459		G6535-MONOMER	b1028
G6550		ECK1031	ymdB	23.823845		G6550-MONOMER	b1045
G6549		ECK1030	ymdA	23.815098		G6549-MONOMER	b1044
G0-16688		ECK4580	ymcF	22.657536		MONOMER0-4393	b4723
G6512		ECK0981	ymcE	22.661049		G6512-MONOMER	b0991
G0-17016		ECK4627	yljB	19.87956		MONOMER0-4482	b4770
G0-16731		ECK4593	yliM	18.319597		MONOMER0-4413	b4736
G6419		ECK0805	yliL	18.36107	Recent attempts to find either mRNA or protein expression of <i>yliL</i> have been unsuccessful, indicating that this ORF may have been a spurious annotation |CITS: [21908668]|.		b0816
G6437		ECK0827	yliI	18.931665		G6437-MONOMER	b0837
G0-16729		ECK4591	yldA	13.859937		MONOMER0-4411	b4734
G0-16728		ECK4590	ylcJ	12.251995		MONOMER0-4410	b4733
G0-10585		ECK4399	ylcI	12.500958		MONOMER0-2814	b4589
G0-10584		ECK4398	ylcH	12.331126		MONOMER0-2813	b4588
G0-10435		ECK0542	ylcG	12.36047		MONOMER0-2657	b4509
G0-16713		ECK4441	ylbI	11.407512	Comment from ASAP: A single nucleotide substitution at g.528723 disrupts the start codon and the C-terminal 4159 nucleotides are deleted relative to rhsH in Escherichia coli HS (ASAP:ADR-0004927).	G0-16713-MONOMER	b4632
G6271	rhsH	ECK0493	ylbH	11.374162		G6271-MONOMER	b0499
G6273		ECK0495	ylbG	11.410701		G6273-MONOMER	b0502
G6289		ECK0513	ylbF	11.841193		G6289-MONOMER	b0520
G6288	b0519 // G0-10554 // b4507	ECK0512	ylbE	11.813833		G6288-MONOMER	b4572
G6253		ECK0452	ylaC	10.314883		G6253-MONOMER	b0458
G0-17047		ECK4658	ykiE	97.34405		MONOMER0-4515	b4801
G0-16727		ECK4589	ykiD	8.810376		MONOMER0-4409	b4732
G0-16726		ECK4588	ykiC	8.272055		MONOMER0-4408	b4731
G6221		ECK0367	ykiB	8.386816			b0370
G6231		ECK0387	ykiA	8.803094		G6231-MONOMER	b0392
G0-16724		ECK4586	ykgV	6.3537292		MONOMER0-4406	b4729
G0-16674		ECK4504	ykgS	6.2587633		MONOMER0-4436	b4688
G0-10654		ECK4486	ykgR	6.7463264		MONOMER0-2881	b4671
G0-10682		ECK4454	ykgQ	6.838923	<i>ykgQ</i> is a pseudogene in <i>E. coli</i> K-12 with homology to the 3' region of a putative aldo/keto reductase. Intact alleles are found in <i>E. coli</i> HS, <i>E. coli</i> B171, <i>E. coli</i> O157:H7 and others.		b4631
G0-16716		ECK4446	ykgP	6.7587147		G0-16716-MONOMER	b4630
G0-10434		ECK0295	ykgO	6.7298026		MONOMER0-2656	b4506
